anio,sexo,entidad,casos_proteccion_atendidos,fecha
2023,hombre,Guanajuato,1.0,2023-01-01
2023,mujer,Guanajuato,1.0,2023-01-01
2024,hombre,Guanajuato,5.0,2024-01-01
2024,mujer,Guanajuato,1.0,2024-01-01
2025,hombre,Guanajuato,1.0,2025-01-01
2025,mujer,Guanajuato,,2025-01-01
2010,hombre,Guerrero,3.0,2010-01-01
2010,mujer,Guerrero,0.0,2010-01-01
2011,hombre,Guerrero,,2011-01-01
2011,mujer,Guerrero,,2011-01-01
2012,hombre,Guerrero,1.0,2012-01-01
2012,mujer,Guerrero,0.0,2012-01-01
2013,hombre,Guerrero,1.0,2013-01-01
2013,mujer,Guerrero,1.0,2013-01-01
2014,hombre,Guerrero,,2014-01-01
2014,mujer,Guerrero,,2014-01-01
2015,hombre,Guerrero,1.0,2015-01-01
2015,mujer,Guerrero,0.0,2015-01-01
2016,hombre,Guerrero,2.0,2016-01-01
2016,mujer,Guerrero,0.0,2016-01-01
2017,hombre,Guerrero,,2017-01-01
2017,mujer,Guerrero,,2017-01-01
2018,hombre,Guerrero,,2018-01-01
2018,mujer,Guerrero,,2018-01-01
2019,hombre,Guerrero,1.0,2019-01-01
2019,mujer,Guerrero,1.0,2019-01-01
2020,hombre,Guerrero,2.0,2020-01-01
2020,mujer,Guerrero,,2020-01-01
2021,hombre,Guerrero,1.0,2021-01-01
2021,mujer,Guerrero,,2021-01-01
2022,hombre,Guerrero,2.0,2022-01-01
2022,mujer,Guerrero,1.0,2022-01-01
2023,hombre,Guerrero,5.0,2023-01-01
2023,mujer,Guerrero,1.0,2023-01-01
2024,hombre,Guerrero,,2024-01-01
2024,mujer,Guerrero,,2024-01-01
2025,hombre,Guerrero,,2025-01-01
2025,mujer,Guerrero,,2025-01-01
2010,hombre,Hidalgo,1.0,2010-01-01
2010,mujer,Hidalgo,0.0,2010-01-01
2011,hombre,Hidalgo,,2011-01-01
2011,mujer,Hidalgo,,2011-01-01
2012,hombre,Hidalgo,1.0,2012-01-01
2012,mujer,Hidalgo,0.0,2012-01-01
2013,hombre,Hidalgo,2.0,2013-01-01
2013,mujer,Hidalgo,1.0,2013-01-01
2014,hombre,Hidalgo,,2014-01-01
2014,mujer,Hidalgo,,2014-01-01
2015,hombre,Hidalgo,0.0,2015-01-01
2015,mujer,Hidalgo,1.0,2015-01-01
2016,hombre,Hidalgo,2.0,2016-01-01
2016,mujer,Hidalgo,0.0,2016-01-01
2017,hombre,Hidalgo,,2017-01-01
2017,mujer,Hidalgo,,2017-01-01
2018,hombre,Hidalgo,2.0,2018-01-01
2018,mujer,Hidalgo,0.0,2018-01-01
2019,hombre,Hidalgo,1.0,2019-01-01
2019,mujer,Hidalgo,0.0,2019-01-01
2020,hombre,Hidalgo,2.0,2020-01-01
2020,mujer,Hidalgo,,2020-01-01
2021,hombre,Hidalgo,2.0,2021-01-01
2021,mujer,Hidalgo,1.0,2021-01-01
2022,hombre,Hidalgo,3.0,2022-01-01
2022,mujer,Hidalgo,,2022-01-01
2023,hombre,Hidalgo,2.0,2023-01-01
2023,mujer,Hidalgo,,2023-01-01
2024,hombre,Hidalgo,2.0,2024-01-01
2024,mujer,Hidalgo,2.0,2024-01-01
2025,hombre,Hidalgo,1.0,2025-01-01
2025,mujer,Hidalgo,,2025-01-01
2010,hombre,Jalisco,2.0,2010-01-01
2010,mujer,Jalisco,0.0,2010-01-01
2011,hombre,Jalisco,1.0,2011-01-01
2011,mujer,Jalisco,0.0,2011-01-01
2012,hombre,Jalisco,2.0,2012-01-01
2012,mujer,Jalisco,0.0,2012-01-01
2013,hombre,Jalisco,,2013-01-01
2013,mujer,Jalisco,,2013-01-01
2014,hombre,Jalisco,6.0,2014-01-01
2014,mujer,Jalisco,2.0,2014-01-01
2015,hombre,Jalisco,1.0,2015-01-01
2015,mujer,Jalisco,1.0,2015-01-01
2016,hombre,Jalisco,2.0,2016-01-01
2016,mujer,Jalisco,0.0,2016-01-01
2017,hombre,Jalisco,6.0,2017-01-01
2017,mujer,Jalisco,1.0,2017-01-01
2018,hombre,Jalisco,3.0,2018-01-01
2018,mujer,Jalisco,0.0,2018-01-01
2019,hombre,Jalisco,4.0,2019-01-01
2019,mujer,Jalisco,1.0,2019-01-01
2020,hombre,Jalisco,4.0,2020-01-01
2020,mujer,Jalisco,1.0,2020-01-01
2021,hombre,Jalisco,1.0,2021-01-01
2021,mujer,Jalisco,,2021-01-01
2022,hombre,Jalisco,3.0,2022-01-01
2022,mujer,Jalisco,1.0,2022-01-01
